cd_nom;abondance;récolte;date;diffusion_mesure;durée_secondes;site_name;site_long;site_lat;superficie_mètres_carrés;group_name
95463;1;1;22/05/2023;Oui;360;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
81610;2;1;22/05/2023;Oui;360;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
107038;1;2;22/05/2023;Oui;360;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
102900;1;1;22/05/2023;Oui;360;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
105431;2;1;22/05/2023;Oui;360;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
100387;1;1;22/05/2023;Oui;360;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
112975;4;2;22/05/2023;Non;180;Transect 1 Quadrat 2;5.066058;45.892343;4;Étang de Botte
113260;2;2;22/05/2023;Non;180;Transect 1 Quadrat 2;5.066058;45.892343;4;Étang de Botte
100310;4;2;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
119097;1;2;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
104173;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
99373;1;2;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
105966;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
107117;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
115156;3;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
106581;1;2;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
191232;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
89200;1;2;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
116759;1;2;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
119915;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
106918;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
119977;1;1;22/05/2023;Oui;1200;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
112741;1;1;22/05/2023;Non;240;Transect 2 Quadrat 4;5.066459;45.893968;1;Étang de Botte
104173;1;1;22/05/2023;Non;240;Transect 2 Quadrat 4;5.066459;45.893968;1;Étang de Botte
96271;1;2;22/05/2023;Non;240;Transect 2 Quadrat 4;5.066459;45.893968;1;Étang de Botte
119097;4;2;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
115156;2;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
191232;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
98910;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
99373;1;2;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
116759;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
107038;1;2;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
105966;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
100310;2;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
119948;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
106918;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
119585;1;1;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
104173;1;2;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
92501;1;2;22/05/2023;Oui;900;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
