cd_nom;abondance;récolte;date;diffusion_mesure;durée_secondes;site_name;site_long;site_lat;superficie_mètres_carrés;group_name
95463;1;1;22/05/2023;Non;180;Quadrat 1;5.049162;45.91896;1;Étang Bachelier
81610;2;1;22/05/2023;Non;180;Quadrat 1;5.049162;45.91896;1;Étang Bachelier
113260;4;2;22/05/2023;Non;180;Quadrat 1;5.049162;45.91896;1;Étang Bachelier
102900;1;1;22/05/2023;Oui;120;Quadrat 2;5.049827;45.919266;2;Étang Bachelier
113260;5;1;22/05/2023;Non;240;Quadrat 3;5.050144;45.919401;2;Étang Bachelier
100387;1;1;22/05/2023;Non;240;Quadrat 3;5.050144;45.919401;2;Étang Bachelier
102900;3;2;22/05/2023;Non;240;Quadrat 3;5.050144;45.919401;2;Étang Bachelier
95463;1;2;22/05/2024;Oui;180;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
81610;2;2;22/05/2024;Oui;180;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
107038;1;2;22/05/2024;Oui;180;Transect 1 Quadrat 1;5.065688;45.8928010;1;Étang de Botte
112975;4;1;22/05/2024;Non;240;Transect 1 Quadrat 2;5.066058;45.892343;2;Étang de Botte
98910;2;2;22/05/2024;Non;240;Transect 1 Quadrat 2;5.066058;45.892343;2;Étang de Botte
104173;1;1;22/05/2024;Oui;180;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
191232;2;1;22/05/2024;Oui;180;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
116759;1;1;22/05/2024;Oui;180;Transect 1 Quadrat 3;5.066284;45.891974;2;Étang de Botte
112741;3;2;22/05/2024;Non;600;Transect 2 Quadrat 4;5.066459;45.893968;1;Étang de Botte
104173;1;1;22/05/2024;Non;600;Transect 2 Quadrat 4;5.066459;45.893968;1;Étang de Botte
105966;1;2;22/05/2024;Non;600;Transect 2 Quadrat 4;5.066459;45.893968;1;Étang de Botte
98910;1;2;22/05/2024;Oui;320;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
107038;4;1;22/05/2024;Oui;320;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
100310;1;1;22/05/2024;Oui;320;Transect 2 Quadrat 5;5.007585;45.893090;4;Étang de Botte
